title,videoIDS,publishedDate,likes,views,comment
5 tips to deal with Emergencies! | Ankur Warikoo #Shorts,9Ms_JvhLg7M,2022-01-21T06:30:02Z,8330,110426,51
"Ask Me Anything! | YouTube LIVE with Ankur Warikoo | Personal Finance, Career and Life!",Oz1ows6IGHE,2022-01-20T17:01:47Z,4603,98408,391
Should you Quit your Job and Follow your Passion? | Ankur Warikoo #Shorts,0xha5eKBCFk,2022-01-20T06:30:00Z,14337,134952,238
START READING NOW! - 3 Ways | Ankur Warikoo #shorts,zcqyTA7VdnU,2022-01-19T09:35:38Z,12736,127171,104
My relationship with MONEY | Personal Finance | Ankur Warikoo,yARe0aFIJBE,2022-01-18T16:00:26Z,14401,201085,1977
3 Challenges for YOU in 2022! | Ankur Warikoo #Shorts,HodVpya__aA,2022-01-18T06:30:01Z,34336,287308,226
3 tips for CONSTANT Career Growth! | Ankur Warikoo #Shorts,OjFOKFAe0aU,2022-01-17T06:30:07Z,14793,171626,72
Why do Good People Date the Wrong People? | Ankur Warikoo #Shorts,6T1utCLMHdE,2022-01-16T06:30:01Z,20832,296387,214
How to Invest a Lumpsum amount in 2022? | Ankur Warikoo Hindi,1VbNCaMS-Lw,2022-01-15T16:00:01Z,18112,565016,1339
"It's Natural, It's OKAY! | Ankur Warikoo #Shorts",1BtrsVZ-Prw,2022-01-15T06:30:01Z,12425,168746,240
You HAVE to make Sacrifices | Ankur Warikoo #Shorts,zLK2Ceo1U5w,2022-01-14T06:30:09Z,17707,221940,126
How I Create Content on YouTube! | Content Creation Process in 2022 | Ankur Warikoo Hindi,TEjuD0UugnA,2022-01-13T16:00:11Z,10982,240619,1163
The MOST IMPORTANT 30 Minutes of your Day | Ankur Warikoo #Shorts,0JJPau8hXdY,2022-01-13T06:30:00Z,27515,287480,144
3 things you should NEVER apologise for! | Ankur Warikoo #Shorts,Ltrg7FfJMVA,2022-01-12T06:30:03Z,13647,171730,110
Psychology of Money Book Review | Ankur Warikoo Hindi,DpyMvwF4OSE,2022-01-11T16:00:04Z,37982,717579,1931
3 BIG signs of Toxic People | Ankur Warikoo #Shorts,z7UrYCPbyeE,2022-01-11T06:30:09Z,21363,316683,383
3 ways to build confidence | Ankur Warikoo #Shorts,80A9_lBlczY,2022-01-10T06:35:50Z,21567,219173,170
3 Things I HATE! | Ankur Warikoo #Shorts,0grcsrwFSb4,2022-01-09T06:30:00Z,24137,460965,350
My Investing Strategy for 2022! | Ankur Warikoo Hindi,jeu_AZqV8Sg,2022-01-08T16:00:22Z,15873,356698,2105
I was JOBLESS with NO money at 29! | Ankur Warikoo #Shorts,UHXiBN8T5-s,2022-01-08T06:30:11Z,27789,328027,464
3 IMPORTANT Lessons I learnt in 2021 | Ankur Warikoo #Shorts,mOCVhBH8NAc,2022-01-07T08:39:36Z,16250,203412,139
Planning Your Career in 2022 | Job Planning Framework | Ankur Warikoo,Hx2I7m1XEWk,2022-01-06T16:00:07Z,15309,274463,680
Life is ALL about 2 choices! | Ankur Warikoo #Shorts,RZpBQsqvcxI,2022-01-06T06:30:04Z,18111,174168,93
3 ALARMING relationship mistakes | Ankur Warikoo #Shorts,qhnQTeDj-fc,2022-01-05T06:30:18Z,50755,842632,379
Yeh Buy-Now-Pay-Later Kya Hai? W/ Nitin Gupta | Ankur Warikoo,9vUuxP4QzGM,2022-01-04T17:00:56Z,3766,96737,300
